id,talep_metni,talep_turu,birim,modul,surec_talep_tipi,oncelik
T-1039,evden çalışırken vpn bağlanmıyor acil,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Düşük
T-1040,SAP şifremi unuttum yenilenebilir mi?,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Şifre Sıfırlama,Orta
T-1041,müşteri ziyareti için nakit avans lazım,Hizmet Talebi (Service Request),Finans,Masraf & Ödeme,Avans Talebi,Orta
T-1042,geçen haftaki seyahat masraflarımın onayı bekliyor ne zaman geçer acaba,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Masraf/Harcama Formu Onayı,Düşük
T-1043,proje klasörüne erişimim yok yeni katıldığım için,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Sistem/Klasör Yetki Talebi,Orta
T-1044,fatura ödemesi neden gecikti,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Fatura Ödeme Takibi,Düşük
T-1045,Kadıköy güzergahı servis saatlerini öğrenebilir miyim?,Bilgi Talebi (Information),İdari İşler,Güvenlik & Ulaşım,Servis Güzergah Talebi,Düşük
T-1046,Yeni açılan Levent Ofis ofisi için 5 adet masaüstü bilgisayar kurulumu talep ediyoruz.,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Donanım,Yeni Ekipman Kurulumu,Orta
T-1047,"Elif, hızlı bir şekilde çalışma belgesi çıkartabilir miyiz?",Hizmet Talebi (Service Request),İnsan Kaynakları,Bordro & Özlük,Özlük/Çalışma Belgesi Talebi,Düşük
T-1048,"Telefonuma wifi bağlanmıyor ama bilgisayara bağlanıyor, 6. kat.",Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Sorunu,Düşük
T-1049,pdf editör programı kurulmasını rica ederim,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Yazılım,Yazılım Lisans/Kurulum Talebi,Düşük
T-1050,2. kat koridorundaki lambalar sürekli yanıp sönüyor.,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arızası,Düşük
T-1051,"Excel dosyam açılmıyor 'bozuk dosya' hatası veriyor, Satış.",Arıza (Incident),Bilgi Teknolojileri,Yazılım,Uygulama Hatası (Outlook/Teams/Excel vb.),Düşük
T-1052,ergonomik sandalye talep ediyorum bel ağrım var,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Ofis Mobilya Değişimi,Orta
T-1053,"Bağlantım sürekli düşüyor, video konferans yaparken kopmalar oluyor, Finans.",Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Düşük
T-1054,kaç gün izin hakkım kaldı öğrenmek istiyorum,Bilgi Talebi (Information),İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi/Bakiye Sorgulama,Düşük
T-1055,Yazıcının toneri bitti acil 4. kat,Hizmet Talebi (Service Request),İdari İşler,Ofis Ekipmanı,Toner/Kartuş Talebi,Düşük
T-1056,yazıcı kağıdı bitti yenisi lazım,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Kırtasiye Malzeme Talebi,Düşük
T-1057,Muhasebe sistemi kapandı fatura kesemiyoruz acil!,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Sunucu/Servis Kesintisi,Yüksek
T-1058,3. kat klima çok gürültü yapıyor rahatsız ediyor.,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Klima/Isıtma Arızası,Orta
T-1059,kartımı kaybettim binaya giremiyorum acil,Hizmet Talebi (Service Request),İdari İşler,Güvenlik & Ulaşım,Kayıp Giriş Kartı,Orta
T-1060,"yazıcı kağıt sıkıştırdı sürekli hata veriyor Ricoh MP, Bursa Şube.",Arıza (Incident),İdari İşler,Ofis Ekipmanı,Yazıcı/Fotokopi Arıza Bildirimi,Düşük
T-1061,Danışman arkadaşımız için geçici erişim hesabı oluşturulmasını rica ederim.,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Yeni Kullanıcı Hesabı,Düşük
T-1062,15 Eylül tarihindeki iznimi iptal etmek istiyorum.,Hizmet Talebi (Service Request),İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik,Düşük
T-1063,CRM raporları veritabanı hatası veriyor 14:00'den beri.,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Veritabanı Erişim Hatası,Orta
T-1064,kulaklık ses vermiyor teams toplantılarında sorun yaşıyorum,Arıza (Incident),Bilgi Teknolojileri,Donanım,Monitör/Çevre Birimi Arızası,Orta
T-1065,bilgisayarım açılmıyor mavi ekran verdi,Arıza (Incident),Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım,Orta
T-1066,vpn hata veriyor 0xC0000005,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Düşük
T-1067,SAP şifremi unuttum yenilenebilir mi?,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Şifre Sıfırlama,Orta
T-1068,1.500 TL avans talep ediyorum 2 Ekim seyahati için.,Hizmet Talebi (Service Request),Finans,Masraf & Ödeme,Avans Talebi,Düşük
T-1069,geçen haftaki seyahat masraflarımın onayı bekliyor ne zaman geçer acaba,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Masraf/Harcama Formu Onayı,Düşük
T-1070,SAP'de yeni modül yetkisi lazım Selin onayladı.,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Sistem/Klasör Yetki Talebi,Düşük
T-1071,fatura ödemesi neden gecikti,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Fatura Ödeme Takibi,Düşük
T-1072,servis güzergahı değişti mi bilgim yok,Bilgi Talebi (Information),İdari İşler,Güvenlik & Ulaşım,Servis Güzergah Talebi,Düşük
T-1073,"İkinci monitör talep ediyorum, ekran paylaşımı için ihtiyacım var, İnsan Kaynakları.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Donanım,Yeni Ekipman Kurulumu,Düşük
T-1074,vize için şirket yazısı lazım,Hizmet Talebi (Service Request),İnsan Kaynakları,Bordro & Özlük,Özlük/Çalışma Belgesi Talebi,Düşük
T-1075,"Telefonuma wifi bağlanmıyor ama bilgisayara bağlanıyor, 5. kat.",Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Sorunu,Düşük
T-1076,"Visio kurulumu talep ediyorum, Bilgi İşlem projeleri için gerekli.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Yazılım,Yazılım Lisans/Kurulum Talebi,Düşük
T-1077,toplantı odasının ışığı hiç yanmıyor 1 Ekim'ten beri.,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arızası,Orta
T-1078,outlook takvim senkronize olmuyor toplantılarım görünmüyor,Arıza (Incident),Bilgi Teknolojileri,Yazılım,Uygulama Hatası (Outlook/Teams/Excel vb.),Düşük
T-1079,sandalyem bozuldu sırt kısmı kırıldı değişmesi lazım,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Ofis Mobilya Değişimi,Düşük
T-1080,internet gitti geldi yapıyor tüm katta,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Düşük
T-1081,izin bakiyem ne kadar,Bilgi Talebi (Information),İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi/Bakiye Sorgulama,Düşük
T-1082,"Ricoh MP yazıcı için kartuş talep ediyoruz, Lojistik.",Hizmet Talebi (Service Request),İdari İşler,Ofis Ekipmanı,Toner/Kartuş Talebi,Düşük
T-1083,"Finans için dosya, zımba teli ve post-it talep ediyoruz.",Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Kırtasiye Malzeme Talebi,Düşük
T-1084,İstanbul Merkez Ofis ofisindeki tüm sistemler 16:30'den beri erişilemez durumda.,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Sunucu/Servis Kesintisi,Kritik
T-1085,klima soğutmuyor ofis çok sıcak,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Klima/Isıtma Arızası,Düşük
T-1086,kartımı kaybettim binaya giremiyorum acil,Hizmet Talebi (Service Request),İdari İşler,Güvenlik & Ulaşım,Kayıp Giriş Kartı,Orta
T-1087,fotokopi makinesi tarama yapmıyor,Arıza (Incident),İdari İşler,Ofis Ekipmanı,Yazıcı/Fotokopi Arıza Bildirimi,Orta
T-1088,yeni personel için mail adresi açılsın,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Yeni Kullanıcı Hesabı,Düşük
T-1089,izin talebimi yanlış girmişim düzeltilmesi gerekiyor,Hizmet Talebi (Service Request),İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik,Düşük
T-1090,CRM raporları veritabanı hatası veriyor 11:15'den beri.,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Veritabanı Erişim Hatası,Düşük
T-1091,kulaklık ses vermiyor teams toplantılarında sorun yaşıyorum,Arıza (Incident),Bilgi Teknolojileri,Donanım,Monitör/Çevre Birimi Arızası,Yüksek
T-1092,bilgisayar donuyor sürekli,Arıza (Incident),Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım,Orta
T-1093,"Yeni cihazımda VPN kurulumu yapılmamış, bağlanmaya çalışınca 'sertifika hatası' alıyorum.",Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Düşük
T-1094,"Yeni işe başladım ama giriş bilgilerim çalışmıyor, 23 Ağustos'te başladım.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Şifre Sıfırlama,Orta
T-1095,müşteri ziyareti için nakit avans lazım,Hizmet Talebi (Service Request),Finans,Masraf & Ödeme,Avans Talebi,Orta
T-1096,masraf formum hala onaylanmadı,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Masraf/Harcama Formu Onayı,Düşük
T-1097,SAP'de yeni modül yetkisi lazım Deniz onayladı.,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Sistem/Klasör Yetki Talebi,Düşük
T-1098,Aksoy Ltd. Şti. firmasının FTR-2026-0650 numaralı faturası ödendi mi?,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Fatura Ödeme Takibi,Orta
T-1099,servis kaçta kalkıyor akşam,Bilgi Talebi (Information),İdari İşler,Güvenlik & Ulaşım,Servis Güzergah Talebi,Düşük
T-1100,"İkinci monitör talep ediyorum, ekran paylaşımı için ihtiyacım var, Finans.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Donanım,Yeni Ekipman Kurulumu,Düşük
T-1101,banka için çalışma belgesi lazım acil,Hizmet Talebi (Service Request),İnsan Kaynakları,Bordro & Özlük,Özlük/Çalışma Belgesi Talebi,Orta
T-1102,İzmir Ofis kafeterya alanında wifi sinyali çok zayıf.,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Sorunu,Düşük
T-1103,"Emre için Adobe Photoshop lisansı gerekiyor, yöneticim Emre onayladı.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Yazılım,Yazılım Lisans/Kurulum Talebi,Düşük
T-1104,prizler çalışmıyor şarj olmuyor bilgisayarım,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arızası,Yüksek
T-1105,excel de formül hata veriyor #REF diyor anlamadım,Arıza (Incident),Bilgi Teknolojileri,Yazılım,Uygulama Hatası (Outlook/Teams/Excel vb.),Düşük
T-1106,ergonomik sandalye talep ediyorum bel ağrım var,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Ofis Mobilya Değişimi,Düşük
T-1107,internet gitti geldi yapıyor tüm katta,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Düşük
T-1108,kaç gün izin hakkım kaldı öğrenmek istiyorum,Bilgi Talebi (Information),İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi/Bakiye Sorgulama,Düşük
T-1109,siyah toner tükendi renkli hala var,Hizmet Talebi (Service Request),İdari İşler,Ofis Ekipmanı,Toner/Kartuş Talebi,Orta
T-1110,"Satınalma için dosya, zımba teli ve post-it talep ediyoruz.",Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Kırtasiye Malzeme Talebi,Düşük
T-1111,sunucu yanıtı vermiyor tüm sistem yavaş,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Sunucu/Servis Kesintisi,Yüksek
T-1112,klima soğutmuyor ofis çok sıcak,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Klima/Isıtma Arızası,Yüksek
T-1113,"Deniz kartını dün Bursa Şube yakınında kaybetmiş, yeni kart lazım.",Hizmet Talebi (Service Request),İdari İşler,Güvenlik & Ulaşım,Kayıp Giriş Kartı,Yüksek
T-1114,"yazıcı kağıt sıkıştırdı sürekli hata veriyor Canon imageRunner, Kocaeli Depo.",Arıza (Incident),İdari İşler,Ofis Ekipmanı,Yazıcı/Fotokopi Arıza Bildirimi,Orta
T-1115,"Ayşe 30 Ağustos'te Satınalma'da işe başlıyor, hesabının hazır olması lazım.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Yeni Kullanıcı Hesabı,Düşük
T-1116,iznimi değiştirmem lazım tarih uymuyor artık,Hizmet Talebi (Service Request),İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik,Düşük
T-1117,CRM raporları veritabanı hatası veriyor 13:00'den beri.,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Veritabanı Erişim Hatası,Düşük
T-1118,"Monitörümde titreme/çizgi var, 6. kat, Bursa Şube.",Arıza (Incident),Bilgi Teknolojileri,Donanım,Monitör/Çevre Birimi Arızası,Orta
T-1119,bilgisayarım açılmıyor mavi ekran verdi,Arıza (Incident),Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım,Yüksek
T-1120,"Yeni cihazımda VPN kurulumu yapılmamış, bağlanmaya çalışınca 'sertifika hatası' alıyorum.",Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Düşük
T-1121,e-posta şifremi değiştirmem gerekiyor son değişiklik çok eskide kaldı,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Şifre Sıfırlama,Yüksek
T-1122,3.000 TL avans talep ediyorum 28 Ağustos seyahati için.,Hizmet Talebi (Service Request),Finans,Masraf & Ödeme,Avans Talebi,Orta
T-1123,masraf formum hala onaylanmadı,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Masraf/Harcama Formu Onayı,Orta
T-1124,proje klasörüne erişimim yok yeni katıldığım için,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Sistem/Klasör Yetki Talebi,Düşük
T-1125,tedarikçimize kestiğimiz faturanın ödemesi yapıldı mı öğrenebilir miyim,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Fatura Ödeme Takibi,Düşük
T-1126,servis kaçta kalkıyor akşam,Bilgi Talebi (Information),İdari İşler,Güvenlik & Ulaşım,Servis Güzergah Talebi,Düşük
T-1127,"yöneticim onayladı, yeni bir dizüstü bilgisayara ihtiyacım var mevcut cihazım çok eski kaldı.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Donanım,Yeni Ekipman Kurulumu,Düşük
T-1128,vize için şirket yazısı lazım,Hizmet Talebi (Service Request),İnsan Kaynakları,Bordro & Özlük,Özlük/Çalışma Belgesi Talebi,Orta
T-1129,wifi sürekli kopuyor toplantıda rezil oldum,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Sorunu,Düşük
T-1130,"Power BI kurulumu talep ediyorum, Pazarlama projeleri için gerekli.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Yazılım,Yazılım Lisans/Kurulum Talebi,Düşük
T-1131,5. kat koridorundaki lambalar sürekli yanıp sönüyor.,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arızası,Orta
T-1132,Teams çöküyor sürekli kapanıyor,Arıza (Incident),Bilgi Teknolojileri,Yazılım,Uygulama Hatası (Outlook/Teams/Excel vb.),Düşük
T-1133,sandalyem bozuldu sırt kısmı kırıldı değişmesi lazım,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Ofis Mobilya Değişimi,Düşük
T-1134,internet yok,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Orta
T-1135,yıllık izin ne kadar kaldı bilmiyorum,Bilgi Talebi (Information),İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi/Bakiye Sorgulama,Orta
T-1136,toner bitti acil 7. kat,Hizmet Talebi (Service Request),İdari İşler,Ofis Ekipmanı,Toner/Kartuş Talebi,Düşük
T-1137,"İnsan Kaynakları için dosya, zımba teli ve post-it talep ediyoruz.",Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Kırtasiye Malzeme Talebi,Düşük
T-1138,ERP sistemi çöktü kimse giriş yapamıyor tüm şirkette!,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Sunucu/Servis Kesintisi,Kritik
T-1139,3. kat klima çok gürültü yapıyor rahatsız ediyor.,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Klima/Isıtma Arızası,Orta
T-1140,"Selin kartını dün Levent Ofis yakınında kaybetmiş, yeni kart lazım.",Hizmet Talebi (Service Request),İdari İşler,Güvenlik & Ulaşım,Kayıp Giriş Kartı,Yüksek
T-1141,yazıcı kağıt sıkıştırdı basmıyor,Arıza (Incident),İdari İşler,Ofis Ekipmanı,Yazıcı/Fotokopi Arıza Bildirimi,Düşük
T-1142,Yeni stajyerimiz için AD kullanıcı hesabı ve mail adresi açılması gerekiyor.,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Yeni Kullanıcı Hesabı,Düşük
T-1143,izin talebimi yanlış girmişim düzeltilmesi gerekiyor,Hizmet Talebi (Service Request),İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik,Orta
T-1144,rapor çekmeye çalışırken sistem çok yavaş yanıt veriyor bazen hiç açılmıyor,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Veritabanı Erişim Hatası,Düşük
T-1145,kulaklık ses vermiyor teams toplantılarında sorun yaşıyorum,Arıza (Incident),Bilgi Teknolojileri,Donanım,Monitör/Çevre Birimi Arızası,Düşük
T-1146,"Klavyem çalışmıyor bazı tuşlar basınca yazmıyor, Kalite.",Arıza (Incident),Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım,Orta
T-1147,vpn hata veriyor Error 1053,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Orta
T-1148,şifremi unuttum giremiyorum acil,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Şifre Sıfırlama,Orta
T-1149,3.000 TL avans talep ediyorum 2 Ekim seyahati için.,Hizmet Talebi (Service Request),Finans,Masraf & Ödeme,Avans Talebi,Orta
T-1150,masraf formum hala onaylanmadı,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Masraf/Harcama Formu Onayı,Orta
T-1151,"Müşteri Hizmetleri paylaşımlı sürücüsüne erişemiyorum, izin verilmesi gerekiyor.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Sistem/Klasör Yetki Talebi,Orta
T-1152,Mavi Tedarik A.Ş. firmasının FTR-2026-0133 numaralı faturası ödendi mi?,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Fatura Ödeme Takibi,Düşük
T-1153,servis güzergahı değişti mi bilgim yok,Bilgi Talebi (Information),İdari İşler,Güvenlik & Ulaşım,Servis Güzergah Talebi,Düşük
T-1154,"yöneticim onayladı, yeni bir dizüstü bilgisayara ihtiyacım var mevcut cihazım çok eski kaldı.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Donanım,Yeni Ekipman Kurulumu,Düşük
T-1155,vize için şirket yazısı lazım,Hizmet Talebi (Service Request),İnsan Kaynakları,Bordro & Özlük,Özlük/Çalışma Belgesi Talebi,Düşük
T-1156,wifi sürekli kopuyor toplantıda rezil oldum,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Sorunu,Düşük
T-1157,lisansımın süresi doldu yenilenmesi lazım,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Yazılım,Yazılım Lisans/Kurulum Talebi,Düşük
T-1158,ofisimde ışıklar yanmıyor karanlıkta kaldık,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arızası,Düşük
T-1159,excel de formül hata veriyor #REF diyor anlamadım,Arıza (Incident),Bilgi Teknolojileri,Yazılım,Uygulama Hatası (Outlook/Teams/Excel vb.),Düşük
